74,73,2,0,"2020-06-08 18:39:21.423",22,"WORKSHEET",,"Fuel Lid not openning",,,"2020-06-08 18:39:21.423",,,0
75,,0,0,,,,,"PUC",,,"2020-06-08 18:39:21.423",,,0
76,75,2,0,"2020-06-08 18:39:21.439",22,"WORKSHEET",,"PUC",,,"2020-06-08 18:39:21.439",,,0
77,,0,0,,,,,"Complete Diagnosys of the car",,,"2020-06-08 18:39:21.455",,,0
78,77,2,0,"2020-06-08 18:39:21.455",22,"WORKSHEET",,"Complete Diagnosys of the car",,,"2020-06-08 18:39:21.455",,,0
79,,0,0,,,,,"painting both sides with front and rear bumper",,,"2020-06-11 13:36:14.075",,,0
80,79,2,0,"2020-06-11 13:36:14.106",23,"WORKSHEET",,"painting both sides with front and rear bumper",,,"2020-06-11 13:36:14.106",,,0
81,69,2,0,"2020-06-11 13:36:35.712",24,"WORKSHEET",,"over heating",,,"2020-06-11 13:46:37.605",,,0
82,,0,0,"2020-06-11 13:36:35.712",,,,"coolant leak",,,"2020-06-11 13:46:37.605",,,0
83,82,2,0,"2020-06-11 13:36:35.712",24,"WORKSHEET",,"coolant leak",,,"2020-06-11 13:46:37.62",,,0
84,,0,0,"2020-06-12 11:51:16.144",,,,"Lh Front side running board repair",,,"2020-06-12 12:28:46.905",,,0
85,84,2,0,"2020-06-12 11:51:16.144",25,"WORKSHEET",,"Lh Front side running board repair",,,"2020-06-12 12:28:47.123",,,0
86,,0,0,"2020-06-12 11:51:16.144",,,,"front bumper painting and repair",,,"2020-06-12 12:28:47.327",,,0
87,86,2,0,"2020-06-12 11:51:16.144",25,"WORKSHEET",,"front bumper painting and repair",,,"2020-06-12 12:28:47.967",,,0
88,,0,0,"2020-06-12 11:51:16.144",,,,"rear power windows repair",,,"2020-06-12 12:28:48.186",,,0
89,88,2,0,"2020-06-12 11:51:16.144",25,"WORKSHEET",,"rear power windows repair",,,"2020-06-12 12:28:48.342",,,0
90,,0,0,"2020-06-12 11:51:16.144",,,,"complete car polishing",,,"2020-06-12 12:28:48.42",,,0
91,90,2,0,"2020-06-12 11:51:16.144",25,"WORKSHEET",,"complete car polishing",,,"2020-06-12 12:28:48.452",,,0
92,,0,0,"2020-06-12 11:51:16.144",,,,"front door handles re upholstered",,,"2020-06-12 12:28:48.452",,,0
93,92,2,0,"2020-06-12 11:51:16.144",25,"WORKSHEET",,"front door handles re upholstered",,,"2020-06-12 12:28:48.748",,,0
94,27,2,0,"2020-06-12 11:51:16.144",25,"WORKSHEET",,"FOB battery",,,"2020-06-12 12:28:48.78",,,0
95,1,2,0,"2020-06-12 15:13:31.251",26,"WORKSHEET",,"Air condioning Service and Repairs",,,"2020-06-12 15:22:20.343",,,0
96,1,2,0,"2020-06-12 00:00:00.0",27,"WORKSHEET",,"Air condioning Service and Repairs",,,"2020-06-13 10:54:10.671",,,0
97,43,2,0,"2020-06-14 14:07:30.756",28,"WORKSHEET",,"complete vehicle check and service as required",,,"2020-06-14 14:35:16.012",,,0
98,,0,0,"2020-06-14 14:37:18.854",,,,"Accident Repair as per estimate",,,"2020-06-14 14:41:36.405",,,0
99,98,2,0,"2020-06-14 14:37:18.854",29,"WORKSHEET",,"ACCIDENT RELATED REPAIRS",,,"2020-06-14 14:41:36.418",,,0
100,35,2,0,"2020-06-14 14:37:18.854",29,"WORKSHEET",,"complete vehicle denting and painting",,,"2020-06-14 14:41:36.429",,,0
101,,0,0,"2020-06-14 14:37:18.854",,,,"Dashboard Removing & Refitting",,,"2020-06-14 14:41:36.446",,,0
102,101,2,0,"2020-06-14 14:37:18.854",29,"WORKSHEET",,"DASHBOARD REMOVING AND REFITTING",,,"2020-06-14 14:41:36.457",,,0
103,25,2,0,"2020-06-14 14:37:18.854",29,"WORKSHEET",,"complete interior cleaning",,,"2020-06-14 14:41:36.467",,,0
104,,0,0,"2020-06-14 14:37:18.854",,,,"all lights renew",,,"2020-06-14 14:41:36.479",,,0
105,104,2,0,"2020-06-14 14:37:18.854",29,"WORKSHEET",,"all lights renew",,,"2020-06-14 14:41:36.49",,,0
106,,0,0,"2020-06-14 14:37:18.854",,,,"windscreen renew",,,"2020-06-14 14:41:36.5",,,0
107,106,2,0,"2020-06-14 14:37:18.854",29,"WORKSHEET",,"windscreen renew",,,"2020-06-14 14:41:36.509",,,0
108,,0,0,"2020-06-14 14:37:18.854",,,,"bumper renew",,,"2020-06-14 14:41:36.522",,,0
109,108,2,0,"2020-06-14 14:37:18.854",29,"WORKSHEET",,"bumper renew",,,"2020-06-14 14:41:36.531",,,0
110,,0,0,,,,,"Tow in charges",,,"2020-06-14 14:42:33.65",,,0
111,110,2,0,"2020-06-14 14:42:33.659",29,"WORKSHEET",,"Tow in charges",,,"2020-06-14 14:42:33.661",,,0
112,39,2,0,"2020-06-14 16:19:54.09",30,"WORKSHEET",,"air con service",,,"2020-06-14 16:22:59.58",,,0
113,3,2,0,"2020-06-15 12:39:44.972",31,"WORKSHEET",,"service oil and oil filter change",,,"2020-06-15 13:21:13.312",,,0
114,,0,0,"2020-06-15 16:55:44.237",,,,"Clutch is Hard ",,,"2020-06-15 17:43:38.047",,,0
115,114,2,0,"2020-06-15 16:55:44.237",32,"WORKSHEET",,"Clutch is Hard ",,,"2020-06-15 17:43:38.094",,,0
116,54,2,0,"2020-06-15 16:55:44.237",32,"WORKSHEET",,"Engnie Oil leakage on engine Bay area",,,"2020-06-15 17:43:38.094",,,0
