61,68,"DL 11CA 3706",,,"2020-07-04 17:44:05.051",,,"EQ35867",2013,"black","","2022-05-28 00:00:00.0",1,"2021-07-04 17:43:47.911",0,"2022-05-08 00:00:00.0",1,82700,,1,,"Renault","Dustur","1.8/2.0 L Duratec HE","Diesel","MEEHSRAW5D8035569",0
62,69,"DL 3CBS 4364",,,"2020-07-05 11:08:55.637",,,"",,"White",,,1,,1,,1,0,,1,,"Suzuki","Alto","800 cc","Petrol","",0
63,70,"DL 11CC 8899",,,"2020-07-05 11:41:56.15",,,"",2020,"White","",,1,,1,,1,0,,1,,"Suzuki","Brezza","1.3","Diesel","",0
64,71,"DL 7CN 9610",,,"2020-07-05 13:45:49.032",,,"",2013,"Silver",,,1,,1,,1,0,,1,,"Toyota","INNOVA","D4D","Diesel",,0
65,16,"DL 3CAS 4689",,,"2020-07-05 16:45:29.627",,,,,"White",,,1,,1,,1,0,,1,,"Mahindra","SUV 500","2.3 turbo diesel 107 kW","Diesel",,0
66,70,"DL 1CAA 1944",,,"2020-07-06 14:59:56.001",,,"",2019,"White","","2026-10-10 16:50:00.0",1,,1,"2027-04-09 16:50:00.0",1,68500,,1,"30mths AMARON 38B20L CEG5808A202232","Suzuki","Swift","1.3","Petrol","",0
67,72,"DL 5CAG 7000",,,"2020-07-08 14:07:22.379",,,"",,"Silver","",,1,,1,,1,0,,1,,"Volkswagen","Polo","1.2 TSI","Petrol","",0
68,73,"DL 4CAW 5488",,,"2020-07-08 14:11:18.598",,,"",2015,"Silver","",,1,,1,,1,0,,1,,"Honda","Mobilo","1.5 Ivtec","Petrol","",0
69,74,"UP 16BD 3900",,,"2020-07-09 12:59:01.801",,,,,"Sky Blue",,,1,,1,,1,0,,1,,"Toyota","Hybrid Camry","Hybrid 1.6","Petrol",,0
70,75,"DL 1CM 5556",,,"2020-07-09 13:01:17.6",,,,,"Galaxy Grey",,,1,"2021-01-10 18:46:18.447",0,"2021-01-10 18:46:45.791",0,71000,,1,,"Nissan","Sunny","1.6","Petrol","",0
71,6,"DL 12CN 5292",,,"2020-07-09 13:08:13.649",,,"",,"White Orcahrd Pearl",,,1,,1,,1,0,,1,,"Toyota","Hybrid Camry","1.6","Petrol","",0
72,76,"DL 3CBE 3491",,,"2020-07-10 11:11:26.56",,,"",,"White",,,1,,1,,1,0,,1,"Amron 33amps-9jul2020- (AAM-BL-0BL400LMF)","Honda","city","1.5 Ivtec","Petrol","",0
73,16,"DL 3FBY 0777",,,"2020-07-10 13:25:07.029",,,"",,"black","",,1,,1,,1,0,,1,"","AUDI","Q7","","","",0
74,77,"DL 12CA 1879",,,"2020-07-10 17:19:57.907",,,,2010,,,,1,,1,,1,0,,1,,"Mahindra","SUV 500",,"Diesel",,0
75,80,"DL 3CBA 2698",,,"2020-07-11 12:32:25.701",,,"",,"black",,,1,,1,,1,0,,1,,"Honda","Civic","1.6","Petrol","",0
76,81,"DL 7CF 6360",,,"2020-07-11 16:18:52.566",,,,,"Gold",,,1,,1,,1,0,,1,"","Honda","accord ","","Petrol",,0
77,83,"DL 3C 7679",,,"2020-07-11 17:51:06.378",,,"",,"White","",,1,,1,,1,0,,1,"","Suzuki","Wagon R type2","1.1","Petrol","",0
78,84,"DLS 0002",,,"2020-07-11 18:14:54.252",,,"",,"grey",,,1,,1,,1,0,,1,,"Honda","CRV","2,8 l 193 LE (142 kW)","Petrol","",0
79,85,"DL 3CBL 9341",,,"2020-07-12 05:04:22.937",,,"",,"D Grey","",,0,,1,,1,157745,,1,"","Suzuki","Swift","1.2 DDE","Diesel","",0
80,86,"DL 8CAF 1994",,,"2020-07-12 23:46:38.407",,,"",2007,"grey","",,1,,1,,1,0,,1,"","Skoda","Superb 2","2.0 TSI","Petrol","",0
81,87,"DL 2CAN 0185",,,"2020-07-12 23:49:18.376",,,"",,"White",,,1,,1,,1,0,,1,,"Suzuki","Swift Desire","1.3","Petrol","",0
82,88,"DL 3CBM 0672",,,"2020-07-13 00:36:53.392",,,"",2007,"grey",,,1,,1,,1,0,,1,"","Skoda","Superb 2","2.0 automatic","Petrol","",0
83,89,"DL 3CCB 3957",,,"2020-07-13 00:47:41.758",,,,,"White",,,1,,1,,1,0,,1,,"Suzuki","ECO ","800 cc","CNG / Petrol",,0
84,90,"DL 3CBA 5618",,,"2020-07-15 12:37:03.041",,,"",,"D Grey","",,1,,1,,1,0,,1,"","Honda","city","1.5 Ivtec","Petrol","",0
85,91,"DL 8CAV 2268",,,"2020-07-15 15:52:08.026",,,"",,"Silver",,,1,,1,,1,0,,1,"Amaron 45D20C  0208L123930 15-07-2020","Hyundai","Creata","1.6","Petrol","",0
86,91,"DL 8CAV 2268",,,"2020-07-15 15:54:16.925",,,"",,"Silver",,,1,,1,,1,0,,1,"Amaron 15-07-2020 45D20L ADB0208U231930","Hyundai","Creata","1.6","Petrol","",0
87,92,"DL 12CQ 3037",,,"2020-07-15 16:26:34.04",,,"",2018,"Galaxy Grey",,,1,,1,,1,0,,1,,"Mahindra","Marrazzo","1.8/2.0 L Duratec HE","Diesel","",0
88,93,"CH 04E 7113",,,"2020-07-16 16:13:19.275",,,,,"Silver",,,1,,1,,1,0,,1,,"Hyundai","Verna type 1","1.6","Diesel","",0
89,94,"DL 3CCP 6190",,,"2020-07-16 17:54:07.397",,,,,"Silver",,,1,,1,,1,0,,1,,"Toyota","INNOVA Crysta","","Diesel",,0
90,96,"DL 2CQ 6977",,,"2020-07-17 11:11:52.355",,,"",2011,"black","","2021-07-08 00:00:00.0",1,,1,"2021-07-01 11:11:24.683",1,104000,,1,"","AUDI","A6","2,8 l 193 LE (142 kW)","Diesel","",0
91,97,"DL 9CW 6069",,,"2020-07-17 18:34:30.352",,,"",2007,,,,1,,1,,1,0,,1,,"Suzuki","Swift","1.3","Petrol","",0
92,96,"DL 7CT 9846",,,"2020-07-18 17:44:11.363",,,"",,"Silver","","2024-04-04 00:00:00.0",1,,1,"2024-04-28 00:00:00.0",1,94000,,1,"","Hyundai","Creata","1.5 Diesel duratech","Diesel","",0
93,98,"Corola MukulGoel",,,"2020-07-18 18:22:11.578",,,"",,,,,1,,1,,1,0,,1,,"Toyota","Corola","1.8","Petrol",,0
94,99,"Creta MurliJha",,,"2020-07-18 18:30:37.118",,,"",,"White",,,1,,1,,1,0,,1,,"Hyundai","Creata","","","",0
95,100,"HR 26BG 8009",,,"2020-07-19 13:52:15.261",,,,,,,,1,,1,,1,0,,1,"Amaron 05/18","Hyundai","i20","",,,0
96,101,"DL 7CF 8551",,,"2020-07-20 13:32:33.097",,,"",,"Gold","",,1,,1,,1,0,,1,"","Honda","accord ","V6","Petrol","",0
97,21,"DL 8CZ 4948",,,"2020-07-22 16:57:51.772",,,"",,,,"2023-06-20 00:00:00.0",1,"2023-06-20 00:00:00.0",1,"2023-06-20 00:00:00.0",1,113900,,1,,"Renault","Dustur","1.5 Diesel duratech","Diesel","",0
98,102,"HR 51BG 9326",,,"2020-07-23 11:39:38.82",,,,,,,,1,,1,,1,0,,1,,"Mahindra","TUV 300","","Diesel",,0
99,103,"DL 4CNE 6060",,,"2020-07-23 14:33:22.261",,,"",2010,"White",,,1,,1,,1,0,,1,,"Toyota","Corola Altis","","","",0
100,104,"Breeza Nishant",,,"2020-07-23 16:03:17.984",,,,,,,,1,,1,,1,0,,1,,"Suzuki","Brezza",,,,0
101,105,"DL 2CQ 8761",,,"2020-07-25 15:02:55.788",,,"",,,,,1,,1,"0023-04-28 00:00:00.0",1,82000,,1,,"Volkswagen","Rapid","1.2 TSI","Petrol","",0
102,106,"HR 26AC 6144",,,"2020-07-25 19:00:47.902",,,,2008,,,,1,,1,,1,0,,1,,"Suzuki","Swift","",,,0
103,107,"DL 10CG 9139",,,"2020-07-25 19:02:54.247",,,,,,,,1,,1,,1,0,,1,,"Suzuki","Alto",,,,0
104,108,"Amaze Pathania",,,"2020-07-25 19:05:50.867",,,,,,,,1,,1,,1,0,,1,,"Honda","Amaze",,,,0
105,109,"DL 12CH 1249",,,"2020-07-26 14:19:28.188",,,,,"grey",,"2021-07-10 00:00:00.0",1,,1,"2021-07-10 00:00:00.0",0,92500,,1,,"Suzuki","Wagon R type2","1.1","CNG / Petrol",,0
106,110,"DL 2CAT 1634",,,"2020-07-27 18:04:55.471",,,,,,,,1,,1,,1,0,,1,,"Honda","Amaze",,,,0
107,111,"DL 3CBA 9304",,,"2020-07-29 10:17:17.276",,,,,,,,1,,1,,1,0,,1,"Amaron 6/20 AEG1325U235436 AAM-FL-00036B20L 32Amps","Honda","city","1.5 Ivtec",,,0
108,112,"DL 10CG 4727",,,"2020-07-29 10:44:45.831",,,"",2013,"grey",,"2025-01-01 00:00:00.0",1,,0,"2025-01-01 00:00:00.0",1,101300,,1,"Exide red 23Jan2021 a4a1b00b01414a12","Toyota","Corola Altis","2.0","Petrol","",0
109,113,"DL 3CBQ 1632",,,"2020-07-30 11:52:08.193",,,"",,"Maroon Red","","2022-03-21 00:00:00.0",0,"2022-07-08 00:00:00.0",0,"2022-03-15 00:00:00.0",0,68000,,1,"","Hyundai","i20","1.2 kappa Magna","Petrol","",0
