56,19,2,1,0,0,27,28,"WORKSHEET",,"2020-06-01 00:00:00.0",,850.0000,0.0000,0,0.00000000,0,,0,1,,,"front break pads",,-1.0000,,"pcs",,,,,,0.0000,0.0000,0,850.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-14 15:31:59.011",,
57,20,2,1,0,0,27,28,"WORKSHEET",,"2020-06-01 00:00:00.0",,550.0000,0.0000,0,0.00000000,0,,0,1,,,"wiper blades",,-1.0000,,"pcs",,,,,,380.0000,0.0000,0,550.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-14 15:31:59.024",,
58,34,2,1,0,0,27,28,"WORKSHEET",,"2020-06-14 15:36:56.381",,350.0000,0.0000,0,0.00000000,0,,0,1,,,"Cabin Air Filter",,-1.0000,,"pcs",,,,,,300.0000,0.0000,0,350.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-14 15:36:56.383",,
59,9,2,1,0,0,27,31,"WORKSHEET",,"2020-06-15 12:39:44.972",,1380.0000,0.0000,0,0.00000000,0,,0,1,,,"Valvoline synthetic oil 3.5ltr",,-1.0000,,"pcs",,,,,,1350.0000,0.0000,0,1380.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-15 13:21:13.42",,
60,10,2,1,0,0,27,31,"WORKSHEET",,"2020-06-15 12:39:44.972",,190.0000,0.0000,0,0.00000000,0,,0,1,,,"oil filter",,-1.0000,,"pcs",,,,"20000950",,150.0000,0.0000,0,190.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-15 13:21:13.431",,
61,18,2,1,0,0,27,31,"WORKSHEET",,"2020-06-15 12:39:44.972",,350.0000,0.0000,0,0.00000000,0,,0,1,,,"air filter",,-1.0000,,"pcs",,,,,,350.0000,0.0000,0,350.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-15 13:21:13.442",,
62,34,2,1,0,0,27,31,"WORKSHEET",,"2020-06-15 12:39:44.972",,380.0000,0.0000,0,0.00000000,0,,0,1,,,"Cabin Air Filter",,-1.0000,,"pcs",,,,,,300.0000,0.0000,0,380.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-15 13:21:13.454",,
63,12,2,1,0,0,27,31,"WORKSHEET",,"2020-06-15 12:39:44.972",,180.0000,0.0000,0,0.00000000,0,,0,1,,,"coolant",,-1.0000,,"pcs",,,,,,180.0000,0.0000,0,180.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-15 13:21:13.463",,
64,19,2,1,0,0,31,34,"WORKSHEET",1,"2020-06-17 15:13:05.757",,1080.0000,0.0000,0,0.00000000,0,,0,1,,,"front break pads",,-1.0000,,"pcs",,,,,,0.0000,0.0000,0,1080.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-17 15:37:59.179",,
65,9,2,1,0,0,31,34,"WORKSHEET",1,"2020-06-17 15:13:05.757",,1370.0000,0.0000,0,0.00000000,0,,0,1,,,"Valvoline synthetic oil 3.5ltr",,-2.0000,,"pcs",,,,,,1350.0000,0.0000,0,1370.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-17 15:37:59.179",,
66,10,2,1,0,0,31,34,"WORKSHEET",1,"2020-06-17 15:13:05.757",,150.0000,0.0000,0,0.00000000,0,,0,1,,,"oil filter",,-1.0000,,"pcs",,,,,,150.0000,0.0000,0,150.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-17 15:37:59.195",,
67,18,2,1,0,0,31,34,"WORKSHEET",1,"2020-06-17 15:13:05.757",,550.0000,0.0000,0,0.00000000,0,,0,1,,,"air filter",,-1.0000,,"pcs",,,,,,250.0000,0.0000,0,550.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-17 15:37:59.21",,
68,12,2,1,0,0,31,34,"WORKSHEET",1,"2020-06-17 15:13:05.757",,180.0000,0.0000,0,0.00000000,0,,0,1,,,"coolant",,-1.0000,,"pcs",,,,,,130.0000,0.0000,0,180.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-17 15:37:59.229",,
69,23,2,1,0,0,31,34,"WORKSHEET",1,"2020-06-17 15:13:05.757",,160.0000,0.0000,0,0.00000000,0,,0,1,,,"foglamp bulb",,-2.0000,,"pcs",,,,,,0.0000,0.0000,0,160.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-17 15:37:59.245",,
70,31,2,1,0,0,31,34,"WORKSHEET",1,"2020-06-17 15:13:05.757",,1500.0000,0.0000,0,0.00000000,0,,0,1,,,"footmats",,-1.0000,,"pcs",,,,,,700.0000,0.0000,0,1500.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-17 15:37:59.245",,
71,9,2,1,0,0,32,35,"WORKSHEET",,"2020-06-17 15:42:29.592",,1350.0000,0.0000,0,0.00000000,0,,0,1,,,"Valvoline synthetic oil 3.5ltr",,-2.0000,,"pcs",,,,,,1350.0000,0.0000,0,1350.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-17 17:18:08.124",,
72,10,2,1,0,0,32,35,"WORKSHEET",,"2020-06-17 15:42:29.592",,180.0000,0.0000,0,0.00000000,0,,0,1,,,"oil filter",,-1.0000,,"pcs",,,,,,180.0000,0.0000,0,180.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-17 17:18:08.14",,
73,18,2,1,0,0,32,35,"WORKSHEET",,"2020-06-17 15:42:29.592",,550.0000,0.0000,0,0.00000000,0,,0,1,,,"air filter",,-1.0000,,"pcs",,,,,,550.0000,0.0000,0,550.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-17 17:18:08.14",,
74,35,2,1,0,0,32,35,"WORKSHEET",,"2020-06-17 15:42:29.592",,50.0000,0.0000,0,0.00000000,0,,0,1,,,"2 point Tailamp Bulb",,-1.0000,,"pcs",,,,,,50.0000,0.0000,0,50.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-17 17:18:08.171",,
